state,college,record_count
ALABAMA,alabama college,23
ALABAMA,alabama girls' technical institute,11
ALABAMA,alabama poly technic institute,18
ALABAMA,alabama polytechnic institute,83
ALABAMA,alabama technical institute,9
ALABAMA,alabama technical institute and,1
ALABAMA,athens college for women,4
ALABAMA,athens college for young,10
ALABAMA,athens college for young women,8
ALABAMA,birmingham-southern college,9
ALABAMA,birminghamsouthern col,3
ALABAMA,birminghamsouthern college,10
ALABAMA,college for women,9
ALABAMA,howard college,25
ALABAMA,judson college,38
ALABAMA,marion institute,28
ALABAMA,payne university,1
ALABAMA,spring hill college,22
ALABAMA,st. bernard college,24
ALABAMA,talladega college,24
ALABAMA,university of alabama,111
ALABAMA,woman's college of ala,5
ALABAMA,woman's college of alabama,18
ALABAMA,womans college of alabama,7
ALABAMA,women's college of alabama,5
ALASKA,alaska agricultural college,17
ALASKA,alaska agricultural college and school of mines college,6
ARIZONA,gila college,6
ARIZONA,junior college,3
ARIZONA,universitv of arizona,16
ARIZONA,university of arizona,85
ARKANSAS,arkansas baptist college,15
ARKANSAS,arkansas college,17
ARKANSAS,arkansas cumberland college,3
ARKANSAS,arkansas polytechnic college,7
ARKANSAS,arkansas state college,7
ARKANSAS,central baptist college,15
ARKANSAS,central baptistcollege,7
ARKANSAS,central college,14
ARKANSAS,chanical college. high school,8
ARKANSAS,chanical college.' preparatory,4
ARKANSAS,college of the ozarks,28
ARKANSAS,crescent college,9
ARKANSAS,galloway college,15
ARKANSAS,galloway woman's college,18
ARKANSAS,henderson brown college,8
ARKANSAS,henderson-brown college,7
ARKANSAS,hendersonbrown college,16
ARKANSAS,hendrix college,18
ARKANSAS,jonesboro baptist college,6
ARKANSAS,junior college,4
ARKANSAS,little rock college,21
ARKANSAS,mountain home college,7
ARKANSAS,ouachita college,26
ARKANSAS,state agricultural and mechanical college' monticello,7
ARKANSAS,state agricultural and mechanical college. joneshoro,7
ARKANSAS,state agricultural and mechanical college. magnoha,6
ARKANSAS,university of arkansas,117
CALIFORNIA,california christian col,3
CALIFORNIA,california christian college,4
CALIFORNIA,california institute of tech,11
CALIFORNIA,california institute of technology,14
CALIFORNIA,california polytechnic school,3
CALIFORNIA,central junior college,2
CALIFORNIA,chaffey junior college,5
CALIFORNIA,citrus junior college,2
CALIFORNIA,college of medical evangel ists,1
CALIFORNIA,college of medical evangelists,6
CALIFORNIA,college of notre dame,23
CALIFORNIA,college of osteopathic phy sicians and surgeons,1
CALIFORNIA,college of osteopathic physi,4
CALIFORNIA,college of osteopathic physicians and surgeons,3
CALIFORNIA,college of physicians and sur,3
CALIFORNIA,college of physicians and surgeons,2
CALIFORNIA,college of physiciansand surgeons,1
CALIFORNIA,college of science,14
CALIFORNIA,college of the pacific,40
CALIFORNIA,collegeof medical evangelists,7
CALIFORNIA,dominican college,13
CALIFORNIA,dominican college of san rafael,5
CALIFORNIA,galloway college,2
CALIFORNIA,golden gate college,6
CALIFORNIA,golden gate collegey,1
CALIFORNIA,junior college,113
CALIFORNIA,kent college of law,1
CALIFORNIA,kern county junior college,1
CALIFORNIA,la verne college,5
CALIFORNIA,lassen junior college,1
CALIFORNIA,lassen union junior col,1
CALIFORNIA,leland stanford junior uni,34
CALIFORNIA,leland stanford junior univer,11
CALIFORNIA,leland stanford junior university,12
CALIFORNIA,lincoln college of law,1
CALIFORNIA,loyola college,7
CALIFORNIA,loyola university,6
CALIFORNIA,marin junior college,1
CALIFORNIA,marin union junior college,1
CALIFORNIA,mcgeorge college of law,1
CALIFORNIA,menlo junior college,3
CALIFORNIA,mills college,27
CALIFORNIA,noncollegiate,57
CALIFORNIA,occidental college,23
CALIFORNIA,ouachita college,1
CALIFORNIA,pacific union college,35
CALIFORNIA,pacific unitarian school for,3
CALIFORNIA,pacific unitarian school for the ministry,1
CALIFORNIA,pacific unitarian school for the ministry theology,1
CALIFORNIA,pasadena college,9
CALIFORNIA,pomona college,42
CALIFORNIA,sacramento college of law,4
CALIFORNIA,saint mary's college,6
CALIFORNIA,scripps college,2
CALIFORNIA,southern california junior college,3
CALIFORNIA,southwestern university,11
CALIFORNIA,st. ignatius college,23
CALIFORNIA,st. mary's college,39
CALIFORNIA,stanford university,34
CALIFORNIA,throop college of technology,9
CALIFORNIA,university college,8
CALIFORNIA,university of arkansas,3
CALIFORNIA,university of california,71
CALIFORNIA,university of redlands,28
CALIFORNIA,university of san francisco,6
CALIFORNIA,university of santa clara,50
CALIFORNIA,university of southern cal ifornia,21
CALIFORNIA,university of southern cali,24
CALIFORNIA,university of southern california,55
CALIFORNIA,whittier college,15
CALIFORNIA,williams institute,3
COLORADO,college,3
COLORADO,college of the sacred heart,3
COLORADO,colorado agricultural col,24
COLORADO,colorado agricultural college,48
COLORADO,colorado agricultural college fort collinscon. agriculture,14
COLORADO,colorado college,55
COLORADO,colorado school of mines,15
COLORADO,colorado state teachers college,16
COLORADO,colorado woman's college,26
COLORADO,junior college,2
COLORADO,loretto heights college,17
COLORADO,noncollegiate,46
COLORADO,regis college,13
COLORADO,state junior college,2
COLORADO,university of colorado,44
COLORADO,university of denver,53
COLORADO,westminster law school,8
CONNECTICUT,agriculture,9
CONNECTICUT,albertus magnus college,5
CONNECTICUT,colorado school of mines,8
CONNECTICUT,connecticut agricultural col,1
CONNECTICUT,connecticut agricultural college,5
CONNECTICUT,connecticut college for women,8
CONNECTICUT,home economics,4
CONNECTICUT,junior college,6
CONNECTICUT,junior college of connecticut,14
CONNECTICUT,loretto heights college,3
CONNECTICUT,naval unit,2
CONNECTICUT,noncollegiate,8
CONNECTICUT,trinity college,26
CONNECTICUT,united states coast guard academy,1
CONNECTICUT,university of denver,2
CONNECTICUT,wesleyan university,22
CONNECTICUT,yale university,116
DELAWARE,delaware college,27
DELAWARE,gallaudet college,4
DELAWARE,noncollegiate,13
DELAWARE,university of delaware,27
DELAWARE,university of delaware newarkcontinued. electrical engineering,3
DIST COLUMBIA,american university,2
DIST COLUMBIA,catholic sisters college,5
DIST COLUMBIA,catholic university of america,11
DIST COLUMBIA,gallaudet college,5
DIST COLUMBIA,george washington university,16
